 - "A total of %1 Splitattrs have been deleted.","A total of %1 Splitattrs have been deleted."
 - "Add New Splitattr","Add New Splitattr"
 - "An error occurred while deleting Splitattrs.","An error occurred while deleting Splitattrs."
 - "Are you sure you wan't to delete selected Splitattrs?","Are you sure you wan't to delete selected Splitattrs?"
 - "Are you sure you wan\'t to delete the Splitattr ""${ $.$data.priority }"" ?","Are you sure you wan\'t to delete the Splitattr ""${ $.$data.priority }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Attribute Options","Attribute Options"
 - "Attribute&#x20;Options","Attribute&#x20;Options"
 - "Back","Back"
 - "Could not save the Splitattr: %1","Could not save the Splitattr: %1"
 - "Create New Splitattr","Create New Splitattr"
 - "Created","Created"
 - "Delete ""${ $.$data.priority }""","Delete ""${ $.$data.priority }"""
 - "Delete Splitattr","Delete Splitattr"
 - "Delete Splitattrs","Delete Splitattrs"
 - "Delete","Delete"
 - "Edit Splitattr","Edit Splitattr"
 - "Edit","Edit"
 - "ID","ID"
 - "Manage Splitattrs","Manage Splitattrs"
 - "New Splitattr","New Splitattr"
 - "Please correct the data sent.","Please correct the data sent."
 - "Priority","Priority"
 - "Requested Splitattr doesn\'t exist","Requested Splitattr doesn\'t exist"
 - "Reset","Reset"
 - "Save Splitattr","Save Splitattr"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Select Attribute For Split Order","Select Attribute For Split Order"
 - "Select&#x20;Attribute&#x20;For&#x20;Split&#x20;Order","Select&#x20;Attribute&#x20;For&#x20;Split&#x20;Order"
 - "Something went wrong while saving the Splitattr.","Something went wrong while saving the Splitattr."
 - "Splitattr Information","Splitattr Information"
 - "Splitattrs","Splitattrs"
 - "Splitorderpro","Splitorderpro"
 - "The Splitattr has been deleted.","The Splitattr has been deleted."
 - "The Splitattr no longer exists.","The Splitattr no longer exists."
 - "There was a problem deleting the Splitattr","There was a problem deleting the Splitattr"
 - "There was a problem saving the Splitattr","There was a problem saving the Splitattr"
 - "Unable to remove Splitattr %1","Unable to remove Splitattr %1"
 - "Updated","Updated"
 - "We can\'t find a Splitattr to delete.","We can\'t find a Splitattr to delete."
 - "You saved the Splitattr","You saved the Splitattr"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"One on each row","One on each row"
"Please Select Splitattrs.","Please Select Splitattrs."
"Something went wrong while saving the Splitattr.","Something went wrong while saving the Splitattr."
"Splitattr %1","Splitattr %1"
"Splitattr to delete was not found.","Splitattr to delete was not found."
"Splitattr","Splitattr"
"The Splitattr has been deleted.","The Splitattr has been deleted."
"The Splitattr has been saved.","The Splitattr has been saved."
"This Splitattr no longer exists.","This Splitattr no longer exists."
